period,business_line,budget_revenue_wan,budget_gross_margin_pct,budget_cash_flow_wan
2026-01,储能系统,4400,25.0,420
2026-01,工业自动化,3600,32.0,380
2026-01,海外设备,2500,29.0,180
2026-02,储能系统,4300,25.0,380
2026-02,工业自动化,3550,32.0,360
2026-02,海外设备,2450,29.0,160
2026-03,储能系统,4700,25.5,450
2026-03,工业自动化,3800,32.5,400
2026-03,海外设备,2600,29.5,200
2026-04,储能系统,5000,26.0,480
2026-04,工业自动化,4000,33.0,420
2026-04,海外设备,2800,30.0,220
2026-05,储能系统,5400,26.0,520
2026-05,工业自动化,4200,33.0,440
2026-05,海外设备,3100,30.0,240
2026-06,储能系统,5800,26.5,560
2026-06,工业自动化,4450,33.5,460
2026-06,海外设备,3400,30.5,260

